,text
32,"['are', 'ha', 'yrr', 'vo', 'fifa', 'world', 'cup', 'tha', 'isliye', 'support', 'ke', 'liye', 'lga', 'diya', 'tha', 'kyunki', 'india', 'toh', 'khel', 'nhi', 'rha', 'tha', 'world', 'cup', 'to', 'apne', 'idol', 'ki', 'wajah', 'se', 'portugal', 'ko', 'support', 'kar', 'rha', 'tha', 'ruko', 'hta', 'deta', 'hun', 'bhul', 'gya', 'tha']"
33,"['bhai', 'messi', 'cricket', 'khel', 'leta', 'hai', 'harry', 'kane', 'bhi', 'aur', 'india', 'kabhi', 'fifa', 'main', 'qualify', 'hi', 'nhi', 'kar', 'pata', 'to', 'allow', 'kaise', 'hoga', 'bro', 'so', 'it', 'my', 'humble', 'request', 'to', 'you', 'please', 'support', 'indian', 'football', 'too']"
34,"['football', 'talent', 'bahut', 'karachi', 'pakistan', 'me', 'aap', 'kaese', 'kahe', 'sakte', 'k', 'aap', 'ke', 'mulk', 'ka', 'khel', 'nahe', 'fifa', 'arbon', 'dollar', 'fand', 'karti', 'hae', 'aap', 'kha', 'kate', 'ho', 'keo', 'k', 'football', 'me', 'baloch', 'khelta', 'hae']"
35,"['sir', 'morocco', 'jaisa', 'desh', 'fifa', 'world', 'cup', 'khel', 'raha', 'hai', 'cr', 'wala', 'desh', 'kab', 'khelega', 'fifa', 'world', 'cupmera', 'sawal', 'modi', 'ji', 'ke', 'pas', 'pahuncha', 'sakte', 'hai']"
36,"['argentina', 'croatia', 'morocco', 'and', 'france', 'in', 'fifa', 'world', 'cup', 'semis', 'now', 'i', 'want', 'argentina', 'to', 'win', 'world', 'cup', 'before', 'the', 'start', 'of', 'tournament', 'i', 'wanted', 'either', 'brazil', 'argentina', 'or', 'portugal', 'to', 'win', 'and', 'in', 'dd', 'freedish', 'channels', 'dd', 'sports', 'and', 'sports', 'khel', 'will', 'telecast', 'semis', 'amp', 'finals']"
37,"['isme', 'majority', 'log', 'hi', 'chutiyapa', 'kiye', 'hai', 'baat', 'saaf', 'hai', 'or', 'reality', 'toh', 'ye', 'hai', 'indian', 'football', 'team', 'jab', 'fifa', 'khel', 'hi', 'nhi', 'rhi', 'to', 'kyu', 'kre', 'support', 'dusre', 'desho', 'ki']"
38,"['kyoki', 'fifa', 'mai', 'hindumuslim', 'ka', 'koi', 'khel', 'hi', 'nhi', 'hai']"
39,"['bc', 'india', 'fifa', 'me', 'kha', 'khel', 'rha', 'he', 'jahil', 'sala', 'gwar', 'hi', 'rehenge', 'ye', 'pajeets']"
40,"['liyari', 'ki', 'team', 'kis', 'naam', 'sey', 'khel', 'rahi', 'hey', 'fifa', 'world', 'cup', 'mey']"
41,"['ha', 'par', 'indian', 'team', 'ko', 'support', 'karoge', 'to', 'wo', 'bhi', 'fifa', 'khel', 'sakti', 'hai', 'jo', 'india', 'ke', 'liye', 'proud', 'moment', 'hoga']"
42,"['utna', 'hi', 'aukaat', 'hota', 'to', 'ab', 'tak', 'indian', 'team', 'fifa', 'world', 'cup', 'khel', 'rahi', 'hoti', 'ja', 'bhai', 'pehle', 'team', 'taiyaar', 'kar', 'international', 'level', 'ki', 'fir', 'baat', 'karna', 'aarakshan', 'ki']"
43,"['bhagya', 'se', 'fifa', 'world', 'cup', 'mein', 'kisi', 'team', 'mein', 'nahi', 'khel', 'rahi', 'hain', 'paisa', 'sab', 'kuch', 'sambhav', 'kar', 'deta', 'hai', 'almost', 'aise', 'bahut', 'heads', 'of', 'sports', 'bodies', 'hain', 'jinhe', 'wahan', 'khada', 'nahi', 'rakhna', 'chahiye']"
44,"['indian', 'football', 'team', 'me', 'reservation', 'ki', 'jarurat', 'hai', 'uske', 'bina', 'hum', 'fifa', 'world', 'cup', 'nahi', 'khel', 'sakte']"
45,"['not', 'home', 'coming', 'agar', 'ben', 'stokes', 'fifa', 'bhi', 'khel', 'let', 'to', 'karta']"
46,"['kya', 'aap', 'bhi', 'ko', 'miss', 'kar', 'rahe', 'hain', 'aaj', 'iss', 'fifa', 'vishw', 'cup', 'ke', 'quarter', 'final', 'me', 'kaafi', 'romanchak', 'khel']"
47,"['eng', 'aur', 'france', 'ki', 'team', 'me', 'fifa', 'wc', 'ke', 'kitne', 'players', 'abhi', 'fifa', 'qc', 'final', 'me', 'khel', 'rahe', 'hai', 'please', 'bataye', 'thank', 'you']"
48,"['india', 'kab', 'fifa', 'khelega', 'abhi', 'kyu', 'nahi', 'khel', 'raha', 'hai', 'agar', 'khelna', 'hey', 'to', 'tayyari', 'kesa', 'rehna', 'chahiye', 'uttar', 'dena', 'hi', 'padega', 'bharat', 'ke', 'meri', 'jese', 'shotron', 'keliye']"
49,"['moracco', 'fifa', 'world', 'cup', 'winnar', 'ban', 'sakta', 'hai', 'bahut', 'khel', 'dikhaya', 'hai', 'es', 'african', 'teem', 'ne', 'kafi', 'impressive', 'football', 'khela', 'hai', 'so', 'i', 'support', 'morraco', 'hindi']"
50,"['sir', 'kya', 'argentina', 'vs', 'france', 'final', 'match', 'hogaor', 'sir', 'hamara', 'legend', 'sunil', 'sir', 'kya', 'fifa', 'wc', 'khel', 'payega']"
51,"['mujhe', 'lagta', 'hai', 'ye', 'match', 'england', 'jitegi', 'jaise', 'game', 'franc', 'khel', 'rahi', 'england', 'ko', 'halke', 'me', 'le', 'rahi', 'hai', 'france', 'our', 'ye', 'bhari', 'padne', 'wala', 'hai', 'france', 'k', 'team', 'ko', 'aavezsayyed']"
52,"['who', 'designs', 'the', 'boys', 'jersey', 'like', 'aaj', 'toh', 'morocco', 'wale', 'portugal', 'flag', 'phen', 'ke', 'khel', 'rahe']"
53,"['in', 'hindi', 'kya', 'rolando', 'nahi', 'khel', 'rahe', 'hai', 'please', 'reply']"
54,"['yaar', 'i', 'am', 'sure', 'fifa', 'does', 'it', 'on', 'purpose', 'amp', 'maybe', 'even', 'tells', 'umpires', 'to', 'make', 'games', 'more', 'close', 'show', 'cards', 'tactically', 'and', 'like', 'throw', 'games', 'in', 'disarray', 'as', 'people', 'love', 'controversy', 'and', 'then', 'later', 'rivalries', 'grow', 'brand', 'values', 'grow', 'sab', 'paisay', 'ka', 'khel', 'hai']"
55,"['aaj', 'december', 'ha', 'aur', 'aaj', 'duniya', 'ki', 'sbse', 'achha', 'khel', 'yani', 'football', 'ka', 'diwas', 'ha', 'aur', 'fifa', 'world', 'cup', 'bhi', 'chl', 'raha', 'ha', 'mgr', 'ye', 'baat', 'alg', 'ha', 'ki', 'nhi', 'ha', 'esme', 'yaha', 'pe', 'football', 'culture', 'bhi', 'to', 'nhi', 'ha', 'aur', 'bihar', 'me', 'to', 'football', 'ka', 'f', 'bhi', 'nhi', 'ha']"
56,"['baaler', 'game', 'ota', 'fifa', 'khel']"
57,"['ye', 'jitne', 'football', 'world', 'cup', 'commentry', 'yahan', 'kar', 'rahe', 'hain', 'sabne', 'apne', 'computer', 'pe', 'fifa', 'game', 'khel', 'k', 'game', 'seekha', 'hai']"
58,"['india', 'bhi', 'khel', 'rhi', 'kya', 'fifa']"
59,"['eh', 'fifa', 'world', 'cup', 'mein', 'football', 'khelne', 'wale', 'nederland', 'team', 'bhagwa', 'color', 'jersey', 'pehenke', 'khel', 'rahi', 'haikya', 'eh', 'log', 'rssbjp', 'wale', 'hai', 'aur', 'german', 'wale', 'swastik', 'leke', 'khel', 'rahi', 'haimatlab', 'rssbjp', 'n', 'chaiwala', 'vishma', 'guru', 'ban', 'hi', 'gaye']"
60,"['belgium', 'announces', 'man', 'squad', 'for', 'fifa', 'world', 'cup', 'khel', 'nowsource']"
61,"['hamari', 'charcha', 'mongfali', 'p', 'hai', 'fifa', 'dekh', 'te', 'huwe', 'aj', 'ka', 'khel', 'nidarland', 'jeete', 'logo', 'ke', 'sath', 'khel', 'dekhne', 'ka', 'maza', 'hi', 'kuch', 'aur', 'hai']"
62,"['strike', 'rate', 'sab', 'kuchh', 'angrejo', 'ke', 'khel', 'cricket', 'se', 'hi', 'apne', 'kuchh', 'nahivaise', 'zara', 'fifa', 'wc', 'ki', 'taraf', 'dekhe', 'to', 'ek', 'bhi', 'company', 'ka', 'advertise', 'nahi', 'display', 'ho', 'raha', 'jabki', 'naam', 'bade', 'hain']"
63,"['in', 'hindi', 'kya', 'brazil', 'aaj', 'zyada', 'defensive', 'khel', 'raha', 'hain', 'aaj', 'wo', 'brazil', 'nazar', 'nahi', 'aa', 'rahi', 'jo', 'south', 'korea', 'sath', 'kheli', 'thi']"
64,"['aap', 'sports', 'khel', 'par', 'fifa', 'ki', 'feed', 'available', 'karwaye']"
65,"['sir', 'pehle', 'sports', 'khel', 'par', 'fifa', 'ke', 'quarterfinals', 'ki', 'feed', 'ka', 'add', 'aa', 'raha', 'tha']"
66,"['fifa', 'saal', 'ke', 'french', 'khiladi', 'm', 'bapefrance', 'vs', 'england', 'quarter', 'final', 'england', 'ka', 'khel', 'bigad', 'sakte', 'hei', 'duniya', 'ke', 'sabse', 'achche', 'khiladi', 'mane', 'ja', 'rahei']"
67,"['bhosdike', 'dota', 'khel', 'fifa', 'khel', 'khush', 'reh']"
68,"['bss', 'ek', 'baar', 'india', 'fifa', 'khel', 'le', 'phir', 'pure', 'desh', 'ka', 'routine', 'change', 'hojayega']"
69,"['fifa', 'khel', 'yaad', 'ho', 'jayega']"
70,"['world', 'ke', 'sabse', 'bada', 'khel', 'fifa', 'world', 'cup', 'jo', 'qatar', 'ne', 'host', 'kiya', 'hai', 'khel', 'ke', 'bich', 'jab', 'aajan', 'hua', 'to', 'khel', 'ko', 'rok', 'diya', 'gaya', 'masallah', 'qatar', 'ne', 'fir', 'se', 'prove', 'kar', 'diya', 'ke', 'musalmano', 'ke', 'liye', 'aajan', 'aur', 'namaj', 'se', 'bada', 'kuch', 'nhi', 'hai', 'masaallah']"
71,"['khel', 'now', 'team', 'of', 'the', 'round', 'of', 'of', 'the', 'fifa', 'world', 'cup']"
72,"['bhaiyo', 'cricket', 'ko', 'choro', 'hamari', 'foodbol', 'ki', 'team', 'ko', 'support', 'karo', 'koi', 'ipl', 'mat', 'dekhna', 'inka', 'inko', 'views', 'se', 'paisa', 'miltaa', 'hai', 'and', 'han', 'foodboll', 'team', 'ko', 'grow', 'karo', 'taki', 'fifa', 'khel', 'sake', 'hum', 'choro', 'in', 'hijro', 'ko']"
73,"['top', 'asian', 'players', 'with', 'most', 'appearances', 'at', 'fifa', 'world', 'cup', 'khel', 'now', 'and', 'all', 'other', 'latest', 'news', 'about', 'kawaguchi']"
74,"['morocco', 'announces', 'men', 'squad', 'for', 'fifa', 'world', 'cup', 'khel', 'now']"
75,"['indian', 'football', 'team', 'fifa', 'world', 'cup', 'khel', 'payege']"
76,"['kya', 'india', 'kavi', 'fifa', 'khel', 'payegi', 'from', 'ramgarh', 'jharkhand', 'india']"
77,"['kya', 'india', 'kavi', 'fifa', 'khel', 'payegi', 'from', 'ramgarh', 'jharkhand', 'india']"
78,"['agar', 'shiekh', 'abdullah', 'jahanmi', 'na', 'hota', 'touh', 'aaj', 'hum', 'fifa', 'dekh', 'nhi', 'khel', 'rahay', 'hotay']"
79,"['fifa', 'world', 'cup', 'portugal', 'vs', 'switzerland', 'live', 'updates', 'khel', 'now']"
80,"['center', 'ka', 'support', 'mil', 'jata', 'toh', 'aaj', 'delhi', 'ki', 'team', 'bhi', 'fifa', 'world', 'cup', 'khel', 'rahi', 'hoti', 'these', 'political', 'differences', 'between', 'kejri', 'sir', 'and', 'mudi', 'ji', 'costing', 'delhi', 'so', 'much']"
81,"['ye', 'khel', 'bhi', 'extra', 'time', 'jayega', 'aj', 'in', 'hindi']"
82,"['agar', 'future', 'mein', 'india', 'ke', 'saath', 'kisi', 'aur', 'country', 'ke', 'saath', 'milke', 'fifa', 'world', 'cup', 'host', 'chance', 'mil', 'jaye', 'tho', 'kya', 'team', 'india', 'world', 'cup', 'khel', 'payega', 'agar', 'india', 'world', 'cup', 'ke', 'liye', 'qualify', 'na', 'kr', 'paye']"
83,"['spain', 'meh', 'ocar', 'kyu', 'nhi', 'khel', 'rhe', 'ha', 'fifa', 'in', 'hindi', 'cinema']"
84,"['in', 'hindi', 'ap', 'ki', 'mutabit', 'bharat', 'kab', 'tak', 'world', 'cup', 'khel', 'payenge']"
85,"['aus', 'ka', 'national', 'sports', 'cricket', 'uske', 'baad', 'bhi', 'vo', 'fifa', 'world', 'khel', 'h', 'and', 'olympic', 'm', 'top', 'rahta', 'h', 'should', 'be', 'think', 'about', 'others', 'sports']"
86,"['fully', 'agreed', 'sir', 'full', 'support', 'karna', 'chahiye', 'i', 'really', 'feel', 'hamara', 'bharat', 'fifa', 'world', 'cup', 'ni', 'khel', 'raha', 'olympic', 'm', 'just', 'avg', 'medal', 'aate', 'hockey', 'm', 'just', 'khuch', 'hi', 'state', 'support', 'kar', 'rahe', 'really', 'support', 'm', 'ham', 'powerful', 'ni', 'h', 'just', 'cricket']"
87,"['yes', 'pali', 'fifa', 'world', 'cup', 'title', 'kosle', 'uthau', 'la', 'cmt', 'garnu', 'hola', 'khel', 'tw', 'romanchak', 'hudai', 'xa']"
88,"['krk', 'bhai', 'india', 'waale', 'fifa', 'kyu', 'nahi', 'khel', 'rahe']"
89,"['ya', 'toh', 'maine', 'zyada', 'pi', 'li', 'hai', 'ya', 'toh', 'brazil', 'wale', 'ea', 'sports', 'fifa', 'khel', 'rahe']"
90,"['ye', 'brazil', 'ko', 'fifa', 'mobile', 'game', 'samjh', 'k', 'khel', 'rahi', 'h', 'kia']"
91,"['kya', 'penalties', 'ma', 'perisic', 'modric', 'khel', 'sakte', 'hai']"
92,"['kya', 'lagta', 'hai', 'next', 'fifa', 'mai', 'india', 'khel', 'sakta', 'hai']"
93,"['karte', 'to', 'hain', 'jab', 'world', 'cup', 'qualifier', 'khel', 'rahi', 'hoti', 'hain', 'indian', 'football', 'team', 'lekin', 'unka', 'game', 'dekhkar', 'hi', 'pata', 'chalta', 'hai', 'ki', 'abhi', 'saal', 'aur', 'lagenge', 'fifa', 'wc', 'me', 'khelne', 'me']"
94,"['yaar', 'fifa', 'k', 'quarter', 'final', 'mai', 'kn', 'kn', 'gya', 'hai', 'cricket', 'khel', 'hai', 'kafiran', 'da']"
95,"['haan', 'ye', 'galat', 'hai', 'par', 'chamcho', 'k', 'liye', 'ye', 'bilkul', 'sahi', 'hai', 'baag', 'bc', 'shes', 'at', 'least', 'holding', 'our', 'flag', 'that', 'too', 'in', 'fifa', 'wc', 'in', 'qatar', 'jaha', 'pe', 'india', 'khel', 'bhi', 'nahi', 'raha']"
96,"['were', 'loving', 'the', 'whole', 'football', 'fever', 'vibe', 'heres', 'a', 'throwback', 'of', 'ufone', 'g', 'football', 'cup', 'anthem', 'from', 'last', 'year', 'to', 'showcase', 'the', 'amount', 'of', 'love', 'and', 'craze', 'our', 'people', 'have', 'for', 'the', 'game', 'sure', 'is', 'true', 'passion', 'knows', 'no', 'limits', 'dream', 'big', 'aur', 'khel', 'jaa']"
97,"['please', 'sport', 'khel', 'par', 'bhi', 'live', 'karen', 'fifa', 'wc']"
98,"['please', 'show', 'fifa', 'world', 'cup', 'quaterfinal', 'in', 'sports', 'khel']"
99,"['itna', 'support', 'agar', 'hum', 'log', 'football', 'ko', 'karte', 'to', 'shayad', 'india', 'aaj', 'fifa', 'me', 'khel', 'raha', 'hota', 'fan', 'bano', 'but', 'player', 'se', 'pehle', 'desh', 'ko', 'aage', 'rakhna']"
100,"['sir', 'kya', 'india', 'next', 'fifa', 'world', 'cup', 'me', 'khel', 'payega']"
101,"['yahan', 'fifa', 'world', 'cup', 'chal', 'raha', 'hai', 'or', 'aaplog', 'sirf', 'cricket', 'me', 'pade', 'hai', 'kab', 'badlenge', 'aaplog', 'kabhi', 'dusre', 'khel', 'k', 'bareme', 'baat', 'kar', 'liya', 'kare']"
102,"['mbappe', 'jis', 'team', 'me', 'khel', 'rha', 'us', 'level', 'ke', 'team', 'ronaldo', 'ko', 'aj', 'tak', 'ne', 'mili', 'but', 'messi', 'k', 'pas', 'zrur', 'rhi', 'no', 'doubt', 'mbappe', 'is', 'already', 'a', 'big', 'thing', 'but', 'in', 'future', 'he', 'going', 'to', 'that', 'level', 'where', 'others', 'stands', 'unbelievable', 'goals', 'by', 'mbappe', 'in', 'today', 'game']"
103,"['ab', 'ki', 'baar', 'fifa', 'main', 'bohat', 'se', 'legendary', 'players', 'kyu', 'nhi', 'khel', 'rahe']"
104,"['kya', 'lgta', 'hai', 'aapko', 'ki', 'india', 'kb', 'fifa', 'world', 'cup', 'me', 'khel', 'payegi']"
105,"['fifa', 'world', 'cup', 'france', 'vs', 'poland', 'live', 'updates', 'khel', 'now']"
106,"['acha', 'football', 'india', 'fifa', 'bhi', 'khel', 'rha', 'hai', 'kiya']"
107,"['ha', 'basoori', 'wale', 'har', 'koi', 'fifa', 'khel', 'raha', 'hai', 'choootiya', 'teri', 'mc', 'abhi', 'match', 'khatam', 'hone', 'k', 'baad', 'baji', 'k', 'sath', 'date', 'pe', 'nikal', 'jayega', 'crawley', 'bhi', 'fifa', 'khel', 'raha', 'hai']"
108,"['are', 'khel', 'mantri', 'sharam', 'nahi', 'ata', 'ki', 'crore', 'me', 'se', 'logo', 'ko', 'tumlog', 'fifa', 'me', 'nahi', 'bhej', 'sakte', 'sirf', 'road', 'show', 'aur', 'corruption', 'karo', 'bas']"
