,text
224,"['chl', 'bund', 'mrawa', 'jheri', 'marji', 'jitta', 'sadi', 'italy', 'th', 'fifa', 'khel', 'hee', 'nhi', 'rhi']"
225,"['barcelona', 'konsay', 'fifa', 'mei', 'khel', 'rhi', 'hai']"
226,"['spain', 'fifa', 'on', 'beginners', 'pe', 'daal', 'k', 'khel', 'rahi', 'hai']"
227,"['cricket', 'r', 'bahire', 'blg', 'khelot', 'gurutta', 'kam', 'a', 'indvseng', 'r', 'khelor', 'dina', 'moi', 'pathsalat', 'jabo', 'loga', 'hol', 'dekhilo', 'main', 'town', 't', 'big', 'screen', 't', 'khel', 'sai', 'ase', 'aru', 'fifa', 'koto', 'nai', 'ghanta', 'cricket', 'sabo', 'kintu', 'min', 'football', 'nasao', 'eman', 'a', 'serious', 'ami', 'manuhbor']"
228,"['sare', 'hindu', 'fifa', 'qater', 'gaye', 'bina', 'convert', 'ho', 'raha', 'hai', 'kiya', 'nafrat', 'hai', 'islam', 'ke', 'liye', 'inke', 'dilon', 'mein', 'na', 'hi', 'bharat', 'ki', 'team', 'fifa', 'qater', 'mein', 'khel', 'rahi', 'hai', 'bus', 'hage', 'jarahe', 'hein', 'tweeter', 'mein', 'aur', 'musalmano', 'yehan', 'kiya', 'ker', 'rahe', 'ho', 'jao', 'masjidon', 'mein', 'ibaadat', 'karo']"
229,"['mohalle', 'me', 'rugby', 'bhi', 'na', 'khel', 'paane', 'wale', 'chomu', 'aaj', 'fifa', 'worldcup', 'dekhengewaah']"
230,"['andhbhakt', 'jhoot', 'bolra', 'hai', 'fifa', 'world', 'cup', 'india', 'team', 'ko', 'bhejo', 'modi', 'main', 'itna', 'taqat', 'nahi', 'jo', 'indian', 'team', 'ko', 'football', 'khel', 'ne', 'bhej', 'sake']"
231,"['fifa', 'mai', 'virat', 'kohli', 'konsi', 'team', 'se', 'khel', 'rha', 'hai']"
232,"['saara', 'paisa', 'cricket', 'mei', 'hi', 'h', 'tabhi', 'to', 'fifa', 'mei', 'ranking', 'h', 'itni', 'badi', 'aadadi', 'mei', 'players', 'nahi', 'h', 'jo', 'fifa', 'khel', 'ske']"
233,"['kya', 'fayda', 'fifa', 'to', 'nhi', 'khel', 'skte', 'na']"
234,"['paiso', 'ka', 'khel', 'hai', 'bhai', 'aur', 'ye', 'me', 'to', 'bhikari', 'ki', 'aulade', 'hai']"
235,"['bhai', 'chaina', 'khel', 'chuka', 'hai', 'fifa', 'me']"
236,"['pehle', 'tere', 'din', 'ki', 'shuruat', 'ker', 'gita', 'se', 'tere', 'jaise', 'do', 'take', 'k', 'log', 'hai', 'na', 'jo', 'hindu', 'muslim', 'khel', 'rahe', 'hai', 'uske', 'liye', 'hi', 'india', 'na', 'fifa', 'mein', 'aaya', 'aur', 'cricket', 'mein', 'bhi', 'niche', 'gir', 'raha', 'qatar', 'ki', 'copy', 'tere', 'se', 'nhi', 'ho', 'payegi', 'rehne', 'de']"
237,"['fifa', 'world', 'cup', 'football', 'on', 'sports', 'khel', 'on', 'dd', 'free', 'dish', 'at', 'pm']"
238,"['khud', 'to', 'iss', 'qabil', 'ho', 'ni', 'ke', 'fifa', 'world', 'cup', 'khel', 'sako', 'bs', 'doosro', 'ko', 'shabashii', 'dete', 'rahoo', 'very', 'good']"
239,"['top', 'players', 'to', 'watch', 'out', 'for', 'in', 'fifa', 'world', 'cup', 'khel', 'now']"
240,"['kon', 'bol', 'rha', 'hai', 'ki', 'cr', 'koi', 'itna', 'kabil', 'nahi', 'h', 'ki', 'fifa', 'khel', 'sakedo', 'anyone', 'knows', 'here']"
241,"['jahan', 'qatar', 'and', 'saudi', 'fifa', 'khel', 'rhe', 'hamare', 'itne', 'bade', 'desh', 'me', 'players', 'ko', 'toilet', 'me', 'khana', 'serve', 'kr', 'rhe', 'isi', 'liye', 'itne', 'bade', 'desh', 'se', 'ek', 'football', 'team', 'nahi', 'nikal', 'pa', 'rhi']"
242,"['who', 'is', 'enner', 'valencia', 'the', 'first', 'goalscorer', 'of', 'the', 'fifa', 'world', 'cup', 'khel', 'now']"
243,"['ye', 'jo', 'tum', 'hindu', 'muslim', 'ka', 'jo', 'fifa', 'khel', 'rahe', 'ho', 'na', 'ye', 'kya', 'kam', 'hai', 'aap', 'jese', 'hi', 'log', 'hai', 'jo', 'hindu', 'muslim', 'ki', 'kya', 'baat', 'thi', 'yaha', 'par']"
244,"['tu', 'hum', 'konsa', 'fifa', 'khel', 'ry', 'hain']"
245,"['apne', 'vice', 'president', 'quatar', 'me', 'hai', 'fifa', 'world', 'cup', 'me', 'apni', 'team', 'nahi', 'khel', 'rahi', 'fir', 'bhi', 'hypocricy', 'ki', 'seema', 'nahi', 'hai', 'bjp', 'me']"
246,"['yeh', 'fifa', 'ni', 'khel', 'rha']"
247,"['fifa', 'nhi', 'unka', 'main', 'sport', 'australian', 'rules', 'football', 'hai', 'sabse', 'jyada', 'dekhe', 'jane', 'wala', 'sports', 'usk', 'bad', 'horce', 'riding', 'motor', 'sports', 'phir', 'tennis', 'bhi', 'popular', 'australia', 'open', 'aur', 'football', 'bhi', 'khel', 'rahi', 'hai', 'crore', 'ki', 'population', 'pura', 'din', 'match', 'hi', 'dekhte', 'rahenge', 'kya', 'upar', 'se', 'wc', 'm', 'hug', 'diya']"
248,"['mein', 'bachpan', 'say', 'fifa', 'mein', 'ochoa', 'say', 'khel', 'raha', 'houn', 'th', 'world', 'cup']"
249,"['crore', 'ke', 'abadi', 'mein', 'koi', 'aisa', 'khiladi', 'nahin', 'hai', 'jo', 'fifa', 'world', 'cup', 'khel', 'sake', 'kyunki', 'hamara', 'rashtriya', 'khel', 'hindu', 'muslim', 'hai']"
250,"['sahi', 'khel', 'gaye', 'denmark', 'wale', 'protest', 'bhi', 'kar', 'diya', 'aur', 'fifa', 'kuchh', 'ukhad', 'bhi', 'nahi', 'paayi']"
251,"['usa', 'khel', 'rahi', 'hai', 'fifa']"
252,"['shahib', 'badi', 'ajeeb', 'bimari', 'hai', 'ki', 'karod', 'bhartiyon', 'mein', 'se', 'log', 'is', 'kabil', 'nahin', 'hai', 'ki', 'fifa', 'world', 'cup', 'khel', 'sake', 'kyunki', 'yahan', 'to', 'dharm', 'ke', 'aage', 'hi', 'fursat', 'nahin', 'hai']"
253,"['live', 'on', 'sports', 'khel', 'fifa', 'matches', 'we', 'most', 'loves', 'chanel']"
254,"['qatar', 'ne', 'paise', 'ke', 'power', 'pe', 'fifa', 'ke', 'hosting', 'rights', 'khareede', 'hai', 'taaki', 'yeh', 'sab', 'influence', 'karsakejab', 'tak', 'tel', 'hai', 'tab', 'tak', 'k', 'khel', 'hai']"
255,"['right', 'sanghibhajpaion', 'ne', 'hindumuslim', 'ka', 'khel', 'de', 'diya', 'hai', 'khelne', 'ko', 'saal', 'mein', 'sara', 'din', 'kabhi', 'bhi', 'kisi', 'bhi', 'waqt', 'khel', 'sakte', 'ho', 'fifa', 'world', 'toh', 'saal', 'mein', 'ek', 'hi', 'baar', 'aata', 'hai']"
256,"['fifa', 'ne', 'hamari', 'sath', 'game', 'khel', 'rahe', 'hai']"
257,"['apna', 'india', 'nahi', 'khel', 'rha', 'kya', 'fifa', 'world', 'cup']"
258,"['pakistan', 'bhi', 'fifa', 'wc', 'khel', 'raha', 'hai', 'as', 'a', 'football']"
259,"['kiya', 'hi', 'maze', 'hote', 'agar', 'hamari', 'bhi', 'indian', 'team', 'aaj', 'fifa', 'me', 'khel', 'rahi', 'hoti']"
260,"['fifa', 'allow', 'nhi', 'krta', 'politics', 'ko', 'isiliye', 'aaj', 'tak', 'fifa', 'nhi', 'khel', 'paya', 'india', 'pahle', 'to', 'ban', 'tha', 'kam', 'se', 'kam', 'abhi', 'ban', 'to', 'nhi', 'he']"
261,"['tum', 'fifa', 'khel', 'kr', 'judge', 'krlete', 'ho']"
262,"['bc', 'saudi', 'arabia', 'ki', 'population', 'cr', 'hai', 'phir', 'bhi', 'fifa', 'khel', 'rahi', 'hai', 'aur', 'apne', 'india', 'wale', 'sunil', 'chindhi', 'ke', 'aage', 'badh', 'nahi', 'paa', 'rahe', 'bc']"
263,"['fifa', 'world', 'cup', 'live', 'updates', 'denmark', 'vs', 'tunisia', 'khel', 'now']"
264,"['ye', 'indian', 'pakistani', 'sri', 'lankan', 'log', 'fifa', 'world', 'cup', 'kyu', 'dekh', 'rahe', 'hain', 'khudka', 'desh', 'khel', 'nahi', 'raha', 'dusre', 'desho', 'ki', 'chaato', 'basss']"
265,"['madam', 'me', 'btao', 'kyo', 'nhi', 'he', 'kyoki', 'jab', 'khelo', 'me', 'dharm', 'ki', 'baat', 'hone', 'lage', 'to', 'aise', 'game', 'ko', 'khel', 'ke', 'koi', 'fayda', 'nhi', 'h', 'aap', 'check', 'kro', 'fifa', 'world', 'cupt', 'start', 'hone', 'se', 'pehle', 'ek', 'dharm', 'ki', 'book', 'ko', 'padha', 'gaya', 'h', 'jo', 'khel', 'ki', 'bhawnao', 'ko', 'apman', 'karta', 'h']"
266,"['kaha', 'out', 'of', 'form', 'hai', 'bda', 'acha', 'khel', 'rha', 'ye', 'toh', 'mai', 'hr', 'fifa', 'mai', 'isse', 'acha', 'krta', 'hi', 'dekhta', 'hu', 'ronaldo', 'se']"
267,"['fifa', 'ki', 'match', 'gali', 'football', 'jaise', 'hi', 'lag', 'rhi', 'hai', 'bs', 'smart', 'bande', 'khel', 'rhe', 'hai']"
268,"['qatar', 'announces', 'man', 'squad', 'for', 'fifa', 'world', 'cup', 'khel', 'now']"
269,"['abe', 'hutiye', 'tere', 'jaise', 'ki', 'vajah', 'se', 'india', 'se', 'fifa', 'world', 'cup', 'mein', 'koi', 'bhag', 'nahin', 'le', 'paya', 'sirf', 'tum', 'jaise', 'chutiyon', 'ki', 'vajah', 'se', 'kyunki', 'godi', 'media', 'ne', 'india', 'ka', 'rashtriy', 'khel', 'hindu', 'musalman', 'banaa', 'diya', 'hai']"
270,"['pakistan', 'ka', 'rashtriya', 'khel', 'kya', 'hai', 'jo', 'wo', 'nahi', 'khel', 'paya', 'italy', 'ranked', 'by', 'fifa', 'is', 'not', 'playing', 'in', 'the', 'world', 'cup', 'dont', 'blame', 'hindu', 'muslim', 'for', 'that']"
271,"['saal', 'se', 'khel', 'fifa', 'mei', 'khel', 'rahe', 'the', 'congress', 'raaj', 'mei', 'modi', 'ji', 'apne', 'acha', 'nahi', 'kiya', 'fifa', 'mei', 'na', 'bhej', 'ke', 'waise', 'maryada', 'tho', 'roj', 'hi', 'khel', 'rahi', 'hogi', 'ffifa']"
272,"['argentina', 'fifa', 'world', 'cup', 'khel', 'via']"
273,"['cror', 'ki', 'abadi', 'me', 'log', 'is', 'qabil', 'nahi', 'haijo', 'fifa', 'world', 'cup', 'khel', 'sake', 'jante', 'hai', 'kyo', 'kyo', 'ki', 'hamara', 'national', 'khel', 'hindo', 'aur', 'muslim', 'hai']"
274,"['pakistani', 'fifa', 'k', 'kiye', 'football', 'bana', 'sakty', 'hain', 'to', 'khel', 'kyu', 'nhi', 'sakty']"
275,"['apologise', 'to', 'live', 'fifa', 'wc', 'on', 'sports', 'khel', 'we', 'people', 'much', 'love', 'sports', 'group']"
276,"['hamare', 'desh', 'mae', 'kyu', 'nahee', 'foolball', 'khel', 'minister', 'ko', 'pakro', 'trillion', 'china', 'hai', 'hum', 'trillion', 'kyuu', 'zara', 'pata', 'laga', 'kar', 'batato', 'indian', 'agar', 'fifa', 'world', 'mae', 'khelegaa', 'to', 'kyaa', 'problem', 'hai', 'uskee', 'wajah', 'doondho', 'bhaisaheb', 'aap', 'too', 'khelne', 'hee', 'nahee', 'denaaa', 'chahte', 'badee', 'ajeeb', 'baat', 'hai']"
277,"['cricket', 'jisne', 'sabki', 'jaan', 'basti', 'hai', 'wo', 'tak', 'to', 'sahi', 'se', 'khel', 'nai', 'pate', 'ghanta', 'fifa', 'layenge']"
278,"['karod', 'bhartiyon', 'mein', 'log', 'is', 'kabil', 'nahin', 'hai', 'jo', 'fifa', 'world', 'cup', 'khel', 'sake', 'sharm', 'nahin', 'aati', 'tum', 'logon', 'ko', 'aisi', 'bakwas', 'karte', 'hue', 'khali', 'dharm', 'ki', 'rajniti', 'karte', 'ho']"
279,"['crore', 'india', 'ki', 'abadi', 'me', 'log', 'bhi', 'is', 'qabil', 'nahi', 'ke', 'fifa', 'world', 'cup', 'khel', 'sake', 'kiyon', 'ke', 'india', 'ka', 'nitional', 'game', 'hindu', 'muslim', 'hai', 'jo', 'bjp', 'ke', 'paltu', 'achhe', 'se', 'khelna', 'janta', 'hai']"
280,"['se', 'pehle', 'kitne', 'cr', 'fifa', 'world', 'cup', 'khelte', 'the', 'tab', 'kya', 'tha', 'or', 'jis', 'hindu', 'muslim', 'rashtriya', 'khel', 'ki', 'tu', 'bakwas', 'kar', 'rahi', 'hai', 'vo', 'nehru', 'gandhi', 'ne', 'desh', 'ka', 'batwara', 'karke', 'hi', 'shuru', 'kiya', 'tha']"
281,"['surprise', 'surprise', 'football', 'khel', 'ko', 'haram', 'kehne', 'wala', 'invited', 'in', 'fifa', 'worldcup', 'in', 'qatar']"
282,"['bahut', 'khub', 'aur', 'bilkul', 'sahi', 'bola', 'hum', 'es', 'kabil', 'nahi', 'ki', 'fifa', 'khel', 'sake', 'kyonki', 'hamara', 'khel', 'hindu', 'muslim', 'hai']"
283,"['crod', 'mei', 'koi', 'vi', 'nehi', 'jo', 'fifa', 'wc', 'khel', 'sakei']"
284,"['haan', 'sahi', 'bola', 'saal', 'me', 'itna', 'hindu', 'muslim', 'khela', 'ki', 'na', 'fifa', 'khel', 'paye', 'aur', 'na', 'hi', 'koi', 'olympic', 'medal', 'aa', 'payi']"
285,"['se', 'pehle', 'desh', 'me', 'hindu', 'muslim', 'nahi', 'tha', 'bharat', 'har', 'sal', 'fifa', 'me', 'participate', 'karta', 'tha', 'aur', 'kai', 'bar', 'fifa', 'ke', 'final', 'tak', 'bhi', 'pahuch', 'chuka', 'hai', 'bharat', 'ka', 'rashtriya', 'khel', 'bhi', 'football', 'hi', 'tha', 'pata', 'nahi', 'achanak', 'kya', 'hua', 'hypocrite', 'ultra', 'pro', 'liberal']"
286,"['hamara', 'ambani', 'bhau', 'me', 'khel', 'rahe', 'koi', 'chhota', 'mota', 'desh', 'kharid', 'k', 'india', 'ka', 'sticker', 'kyun', 'nehi', 'chipka', 'deta']"
287,"['hahaahahah', 'ab', 'fifa', 'ka', 'bahishkar', 'shuru', 'kr', 'diya', 'andhbhakto', 'ne', 'ab', 'is', 'bahishkar', 'se', 'fifa', 'band', 'ho', 'jayga', 'qki', 'andhbhakto', 'ne', 'bahishkar', 'kr', 'diya', 'duniya', 'k', 'sb', 'desh', 'andhbhakto', 'se', 'ijazat', 'lenge', 'k', 'fifa', 'khel', 'shuru', 'kare', 'ya', 'nhi', 'abe', 'kaha', 'se', 'aate', 'ho', 'be']"
288,"['india', 'wale', 'football', 'ka', 'shoes', 'nahi', 'kharid', 'skate', 'toh', 'fifa', 'kiya', 'mein', 'mehzbani', 'karege', 'cror', 'ki', 'aabadi', 'wala', 'qatar', 'desh', 'aaj', 'football', 'khel', 'rahe', 'he', 'mehzbani', 'kar', 'raha', 'he', 'duniya', 'ki', 'aur', 'hum', 'cror', 'ki', 'aabadi', 'wala', 'bharat', 'desh', 'hindu', 'vs', 'musalman', 'khel', 'rahe', 'he', 'saal', 'se']"
289,"['jab', 'tak', 'ye', 'little', 'cute', 'bada', 'hoga', 'india', 'fifa', 'world', 'cup', 'khel', 'raha', 'hoga']"
290,"['australia', 'toh', 'khel', 'raha', 'h', 'main', 'toh', 'fifa', 'ki', 'ranking', 'check', 'kr', 'rha', 'tha', 'toh', 'usse', 'below', 'ranking', 'wale', 'khelte', 'dikh', 'rhe', 'isliye', 'pucha', 'italy', 'nahi', 'khel', 'raha', 'and', 'th', 'ranked', 'team', 'h', 'wo', 'nahi', 'qualify', 'kr', 'paayi']"
291,"['fifa', 'me', 'team', 'india', 'nahi', 'khel', 'rahi', 'wt', 'ab', 'to', 'boycott', 'fifa', 'trend', 'karna', 'padega']"
292,"['agar', 'iss', 'bande', 'ko', 'chul', 'na', 'katati', 'to', 'india', 'bhi', 'fifa', 'khel', 'raha', 'hota']"
293,"['aiff', 'was', 'banned', 'by', 'fifa', 'but', 'the', 'ban', 'was', 'recently', 'lifted', 'pak', 'was', 'also', 'banned', 'sab', 'paise', 'ka', 'khel', 'hai']"
294,"['abey', 'mote', 'kya', 'boycott', 'kroga', 'tu', 'fifa', 'mai', 'khel', 'to', 'nhi', 'rhi', 'h', 'team', 'or', 'kya', 'krlega', 'tu', 'unka', 'lakho', 'log', 'humare', 'desh', 'se', 'waha', 'rozi', 'roti', 'k', 'liye', 'jate', 'hain', 'kyuki', 'yaha', 'to', 'kaam', 'mil', 'nhi', 'rha', 'hai', 'kisi', 'ko']"
295,"['acha', 'combination', 'h', 'yar', 'aur', 'last', 'fifa', 'competitions', 'men', 'semi', 'n', 'final', 'khel', 'chukay', 'hn', 'wales', 'k', 'sath', 'mazay', 'ka', 'match', 'ho', 'ga', 'pr', 'jeet', 'jayen', 'gy']"
296,"['watching', 'fifa', 'on', 'tv', 'and', 'my', 'mom', 'said', 'ye', 'bhi', 'koi', 'khel', 'hai', 'cricket', 'me', 'hi', 'maza', 'aata', 'hai']"
297,"['india', 'ki', 'population', 'cror', 'he', 'aur', 'inme', 'players', 'nhi', 'hen', 'jo', 'ki', 'fifa', 'world', 'cup', 'khel', 'saken', 'kyunki', 'hamara', 'national', 'game', 'hindu', 'muslim', 'jo', 'he', 'isse', 'fursat', 'mile', 'tab', 'na']"
298,"['lindus', 'be', 'like', 'fifa', 'hamari', 'aukat', 'k', 'bar', 'hai', 'kya', 'kare', 'na', 'jake', 'dekh', 'sakte', 'hain', 'na', 'khel']"
299,"['fifa', 'world', 'cup', 'tou', 'theek', 'hai', 'lekin', 'asal', 'khel', 'tou', 'zindagi', 'ne', 'mere', 'sath', 'khela', 'hai']"
300,"['ab', 'yeh', 'jb', 'tak', 'fifa', 'world', 'cup', 'khatam', 'nhi', 'hojata', 'inki', 'commentary', 'sunni', 'pary', 'gi', 'be', 'the', 'way', 'pakistan', 'nhi', 'khel', 'raha']"
301,"['ham', 'apna', 'fifa', 'corruption', 'cup', 'khel', 'rahay', 'hamara', 'wahan', 'kya', 'kam']"
302,"['bhai', 'apko', 'kya', 'lagta', 'hai', 'dunia', 'ka', 'itna', 'bada', 'sports', 'mai', 'fixing', 'nhi', 'hoti', 'hogi', 'kya', 'fifa', 'ne', 'qatar', 'ko', 'hosting', 'right', 'aise', 'hi', 'nhi', 'diye', 'hai', 'sab', 'paisa', 'ka', 'khel', 'hai']"
303,"['mai', 'toh', 'fifa', 'khel', 'ke', 'samajh', 'gaya']"
304,"['hahaha', 'sahi', 'he', 'bro', 'cror', 'wale', 'fifa', 'world', 'cup', 'ki', 'mehzbani', 'kar', 'rahe', 'he', 'khud', 'khel', 'rahe', 'he', 'aur', 'hum', 'cror', 'wale', 'hindu', 'vs', 'musalman', 'khel', 'rahe', 'he', 'jalan', 'toh', 'hogi', 'bhaktoh', 'k', 'pichwade', 'main']"
305,"['fifa', 'world', 'cup', 'via', 'sports', 'news', 'portal', 'khel', 'ki', 'khabar']"
306,"['lagta', 'ha', 'qatar', 'bhi', 'uss', 'base', 'py', 'ye', 'fifa', 'khel', 'rahi', 'ha', 'jese', 'hamary', 'pakistan', 'k', 'local', 'tournaments', 'mein', 'committee', 'wali', 'team', 'khelti', 'ha']"
307,"['all', 'the', 'sports', 'sports', 'and', 'hd', 'u', 'can', 'watch', 'the', 'fifa', 'world', 'cup', 'on', 'sports', 'khel', 'channel', 'in', 'hindi', 'at', 'dish', 'tv', 'channel', 'no']"
308,"['kiya', 'hota', 'ager', 'pakistan', 'ki', 'team', 'bhi', 'football', 'mn', 'aj', 'fifa', 'world', 'cup', 'khel', 'rahi', 'hoti', 'udr', 'bhi', 'attacks', 'aty', 'kiya']"
309,"['how', 'about', 'a', 'joint', 'bid', 'if', 'countries', 'can', 'be', 'successful', 'for', 'the', 'edition', 'then', 'why', 'not', 'a', 'multination', 'bid', 'again', 'but', 'after', 'years', 'and', 'start', 'working', 'on', 'teams', 'from', 'now', 'so', 'that', 'they', 'compete', 'then', 'koi', 'yeh', 'na', 'kahehost', 'hai', 'isiliye', 'khel', 'rahein', 'hain']"
310,"['shaheen', 'ko', 'bhi', 'khel', 'wao', 'na', 'fifa', 'itna', 'acha', 'toh', 'khelta', 'hai']"
311,"['fifa', 'cometary', 'other', 'cometary', 'the', 'valencia', 'playing', 'very', 'nyc', 'indian', 'commentators', 'valencia', 'yaha', 'peda', 'hue', 'the', 'yaha', 'unki', 'pedaish', 'hai', 'yaha', 'vo', 'bade', 'hue', 'abb', 'yaha', 'se', 'khel', 'rahe', 'hai']"
312,"['ambani', 'ji', 'mumbai', 'indians', 'nhi', 'khel', 'rhi', 'fifa', 'toh', 'ache', 'se', 'stream', 'nhi', 'karogay', 'kya']"
313,"['india', 'k', 'pas', 'messi', 'nhi', 'ur', 'humare', 'pas', 'ronaldo', 'nhi', 'iss', 'wajah', 's', 'fifa', 'wc', 'ni', 'khel', 'rhe']"
314,"['game', 'toh', 'khel', 'lo', 'bhai', 'pehle', 'ek', 'fifa', 'world', 'cup', 'me', 'mahine', 'to', 'bas', 'cricket', 'cricket', 'karte', 'ho', 'saal', 'me', 'ek', 'baar', 'football', 'yaad', 'ayega', 'to', 'kaise', 'chalega']"
315,"['duniya', 'ka', 'ak', 'chota', 'lakh', 'aabadi', 'ka', 'desh', 'fifa', 'world', 'cup', 'footbal', 'ka', 'aayujan', 'kr', 'raha', 'hai', 'aur', 'khel', 'raha', 'hai', 'aur', 'duniya', 'ka', 'shakti', 'shali', 'desh', 'bharat', 'k', 'avam', 'hindu', 'aur', 'muslim', 'k', 'beech', 'nafrat', 'ka', 'khel', 'khel', 'rahen', 'hai', 'aakhir', 'hum', 'kub', 'world', 'cup', 'me', 'footbal', 'khelengen']"
316,"['bhai', 'koi', 'batayega', 'india', 'ka', 'fifa', 'wc', 'na', 'khel', 'paneka', 'reason']"
317,"['fifa', 'wc', 'me', 'india', 'nhi', 'khel', 'raha', 'h', 'bhai']"
318,"['part', 'khel', 'now', 'journalists', 'make', 'their', 'fifa', 'world', 'cup', 'predictions']"
319,"['khel', 'now', 'journalists', 'make', 'their', 'fifa', 'world', 'cup', 'predictions']"
320,"['fifa', 'president', 'also', 'made', 'an', 'example', 'with', 'france', 'not', 'selling', 'alcohol', 'in', 'stadiums', 'due', 'to', 'their', 'religious', 'beliefs', 'and', 'ethics', 'khel', 'now', 'that', 'the', 'reason', 'the', 'alcohol', 'selling', 'in', 'the', 'arenas', 'got', 'reversed', 'in', 'respect', 'of', 'the', 'qatari', 'people', 'beliefs', 'and', 'ethics']"
321,"['ye', 'fifa', 'mai', 'kis', 'team', 'se', 'khel', 'raha', 'hai']"
322,"['jab', 'apna', 'desh', 'hi', 'fifa', 'me', 'nahi', 'khel', 'raha', 'hai', 'to', 'aise', 'football', 'wc', 'season', 'ki', 'maakichu']"
323,"['jis', 'desh', 'ki', 'aabadi', 'crore', 'se', 'bhi', 'kam', 'hai', 'wo', 'desh', 'aaj', 'fifa', 'world', 'cup', 'khelne', 'ke', 'liye', 'taiyar', 'hai', 'india', 'crore', 'ki', 'aabadi', 'hum', 'sirf', 'hindu', 'musalman', 'khel', 'rahe', 'hai']"
324,"['jis', 'desh', 'ki', 'aabadi', 'crore', 'se', 'bhi', 'kam', 'hai', 'wo', 'desh', 'aaj', 'fifa', 'world', 'cup', 'khelne', 'ke', 'liye', 'taiyar', 'hai', 'india', 'crore', 'ki', 'aabadi', 'hum', 'sirf', 'hindu', 'musalman', 'khel', 'rahe', 'hai']"
325,"['bhai', 'yahan', 'fifa', 'world', 'cup', 'ki', 'baat', 'ho', 'rahi', 'hai', 'aur', 'aap', 'laliga', 'khel', 'rahe', 'hain']"
326,"['to', 'jisne', 'fifa', 'wc', 'wahan', 'organized', 'krne', 'ka', 'kaha', 'hai', 'ye', 'uska', 'or', 'un', 'countries', 'ka', 'matter', 'hai', 'jo', 'khel', 'rahe', 'henapko', 'kiya', 'takleef', 'hai', 'bs', 'apni', 'nasal', 'ka', 'kahin', 'na', 'kahin', 'zaroor', 'bata', 'dia', 'kro', 'k', 'hum', 'gandi', 'nasal', 'k', 'gande', 'log', 'hai', 'jo', 'cow', 'ka', 'peshab', 'pi', 'kr', 'bare', 'hue', 'hen']"
327,"['the', 'complete', 'timeline', 'of', 'how', 'qatar', 'came', 'to', 'host', 'fifa', 'world', 'cup', 'khel', 'now']"
328,"['kaash', 'india', 'fifa', 'khel', 'rahi', 'hoti']"
329,"['is', 'sports', 'khel', 'hindi', 'is', 'going', 'to', 'telecast', 'fifa', 'world', 'cup']"
330,"['fifa', 'ke', 'chhode', 'indian', 'football', 'ko', 'itna', 'attention', 'dete', 'to', 'aaj', 'india', 'bhi', 'fifa', 'world', 'cup', 'khel', 'raha', 'hota']"
331,"['konse', 'parallel', 'universe', 'main', 'hai', 'tu', 'jaha', 'india', 'fifa', 'khel', 'rahi', 'hai']"
332,"['fifa', 'world', 'cup', 'revisiting', 'france', 'triumph', 'khel', 'now']"
333,"['fifa', 'worldcup', 'ki', 'commentary', 'b', 'aap', 'kar', 'rahe', 'hai', 'kya', 'sir', 'kya', 'hai', 'na', 'ap', 'commentary', 'karte', 'karte', 'khel', 'k', 'niyam', 'saral', 'shabdo', 'me', 'sikha', 'k', 'imterest', 'jaga', 'dete', 'ho']"
334,"['se', 'playstation', 'pr', 'fifapes', 'khel', 'rhe', 'football', 'hmara', 'long', 'lost', 'pyar', 'h', 'ab', 'kam', 'ki', 'vyastata', 'k', 'karan', 'playstation', 'khelna', 'nhi', 'ho', 'pata', 'jyada', 'ap', 'ekdum', 's', 'nhi', 'smjh', 'pyengi']"
335,"['farid', 'bhai', 'pakistan', 'ki', 'team', 'kya', 'agla', 'fifa', 'world', 'khel', 'skti', 'or', 'isme', 'bh', 'bilateral', 'series', 'hoti', 'h']"
336,"['hey', 'i', 'have', 'one', 'confusionsports', 'or', 'sports', 'khel', 'which', 'channel', 'will', 'live', 'telecast', 'fifa', 'world', 'cup', 'can', 'you', 'explain', 'this']"
337,"['arey', 'bhai', 'bhai', 'bhai', 'library', 'prhny', 'aya', 'thafifa', 'kyu', 'khel', 'rha', 'hun']"
338,"['will', 'fifa', 'telecast', 'on', 'sports', 'khel']"
339,"['tunisia', 'announces', 'man', 'squad', 'for', 'fifa', 'world', 'cup', 'khel', 'now']"
340,"['percent', 'toh', 'ronaldo', 'last', 'game', 'khel', 'chuka', 'hain', 'united', 'ke', 'lea', 'aur', 'i', 'guess', 'club', 'football', 'bhe', 'mushkil', 'hoga', 'koe', 'team', 'kyu', 'he', 'lege', 'cr', 'ko', 'ab', 'es', 'ke', 'baad', 'fifa', 'wc', 'he', 'sab', 'hain', 'ab', 'cr', 'ke', 'lea']"
341,"['ok', 'phir', 'aap', 'fifa', 'din', 'kr', 'liye', 'hi', 'sirf', 'dekhoge', 'kyu', 'ki', 'qatar', 'apna', 'starting', 'ke', 'match', 'khel', 'kr', 'knockout', 'ho', 'jayegi']"
342,"['which', 'nations', 'have', 'announced', 'their', 'squad', 'for', 'fifa', 'world', 'cup', 'khel', 'now', 'source']"
343,"['luis', 'suarez', 'edinson', 'cavani', 'included', 'in', 'uruguay', 'squad', 'for', 'fifa', 'world', 'cup', 'khel', 'now', 'source']"
344,"['denmark', 'announces', 'squad', 'for', 'fifa', 'world', 'cup', 'khel', 'now', 'more']"
